representation,condition,detection_rate,localization_rate,broad_global_mode_rate,median_max_score,median_significant_pairs
R1,null,0.01,0.01,0.0,0.13179430880888873,0.0
R1,direct_linear,1.0,1.0,0.0,0.6061934901665391,1.0
R1,common_pair,1.0,1.0,0.0,0.5694038886374369,1.0
R1,nonlinear_square,0.065,0.065,0.0,0.13824708140887887,0.0
R1,nonlinear_tanh,1.0,1.0,0.0,0.5041331619921692,1.0
R1,global_common,1.0,0.06,1.0,0.5067766668675248,15.0
R2,null,0.01,0.01,0.0,0.13179430880888876,0.0
R2,direct_linear,1.0,1.0,0.0,0.6061934901665391,1.0
R2,common_pair,1.0,1.0,0.0,0.5694038886374369,1.0
R2,nonlinear_square,0.055,0.055,0.0,0.13600006481976404,0.0
R2,nonlinear_tanh,1.0,1.0,0.0,0.5041331619921692,1.0
R2,global_common,1.0,0.06,1.0,0.5067766668675246,15.0
R3,null,0.01,0.01,0.0,0.13177268338048617,0.0
R3,direct_linear,1.0,1.0,0.0,0.6039086982935831,1.0
R3,common_pair,1.0,1.0,0.0,0.567180555998765,1.0
R3,nonlinear_square,0.06,0.06,0.0,0.14249191467203953,0.0
R3,nonlinear_tanh,1.0,1.0,0.0,0.5031174793751463,1.0
R3,global_common,1.0,0.065,1.0,0.5051129187503558,15.0
R4,null,0.01,0.01,0.0,0.13122106400560868,0.0
R4,direct_linear,1.0,1.0,0.0,0.6045452701433642,1.0
R4,common_pair,1.0,1.0,0.0,0.568406844527399,1.0
R4,nonlinear_square,0.045,0.045,0.0,0.13652853015459646,0.0
R4,nonlinear_tanh,1.0,1.0,0.0,0.5088271385410069,1.0
R4,global_common,1.0,0.06,1.0,0.5062335488942189,15.0
