candidate,replicate,linear_max,nonlinear_max,combined_max
rff24,1,0.1355985604283644,0.018305328483095906,0.1355985604283644
rff64,1,0.1355985604283644,0.014473014133981523,0.1355985604283644
rff128,1,0.1355985604283644,0.01652123274927296,0.1355985604283644
ensemble4x32,1,0.1355985604283644,0.015254112950095504,0.1355985604283644
rff24,2,0.14689126865560864,0.01891912353423845,0.14689126865560864
rff64,2,0.14689126865560864,0.017579821251331215,0.14689126865560864
rff128,2,0.14689126865560864,0.017129816652326216,0.14689126865560864
ensemble4x32,2,0.14689126865560864,0.01602055012851802,0.14689126865560864
rff24,3,0.1149242032520224,0.013541820837760322,0.1149242032520224
rff64,3,0.1149242032520224,0.011866928058201122,0.1149242032520224
rff128,3,0.1149242032520224,0.011706714229761418,0.1149242032520224
ensemble4x32,3,0.1149242032520224,0.010421196306862737,0.1149242032520224
rff24,4,0.1272887577356937,0.014447612945501849,0.1272887577356937
rff64,4,0.1272887577356937,0.013862538004068318,0.1272887577356937
rff128,4,0.1272887577356937,0.014607817054984967,0.1272887577356937
ensemble4x32,4,0.1272887577356937,0.013188525648719099,0.1272887577356937
rff24,5,0.10608742457545937,0.010898980807751979,0.10608742457545937
rff64,5,0.10608742457545937,0.010525094328232341,0.10608742457545937
rff128,5,0.10608742457545937,0.011515754116105106,0.10608742457545937
ensemble4x32,5,0.10608742457545937,0.011249689119222894,0.10608742457545937
rff24,6,0.1333523076745083,0.015106096404028513,0.1333523076745083
rff64,6,0.1333523076745083,0.012292936987312198,0.1333523076745083
rff128,6,0.1333523076745083,0.011548370906146072,0.1333523076745083
ensemble4x32,6,0.1333523076745083,0.011577616887849404,0.1333523076745083
rff24,7,0.12516409439576737,0.016326116590139512,0.12516409439576737
rff64,7,0.12516409439576737,0.015096083478906085,0.12516409439576737
rff128,7,0.12516409439576737,0.015329460629103715,0.12516409439576737
ensemble4x32,7,0.12516409439576737,0.01485991380487013,0.12516409439576737
rff24,8,0.127885514145616,0.011432159454472603,0.127885514145616
rff64,8,0.127885514145616,0.01227868784391355,0.127885514145616
