candidate,condition,replicate,target_linear,target_nonlinear,target_combined,target_linear_p,target_nonlinear_p,target_combined_p,linear_max_p,nonlinear_max_p,combined_max_p
rff24,nonlinear_square,1,0.08984839301937882,0.10631236266926267,0.10631236266926267,0.9985,0.0005,0.9215,0.6655,0.0005,0.6655
rff64,nonlinear_square,1,0.08984839301937882,0.05995994042871967,0.08984839301937882,0.9985,0.0005,0.9985,0.6655,0.0005,0.6655
rff128,nonlinear_square,1,0.08984839301937882,0.07260954194055369,0.08984839301937882,0.9985,0.0005,0.9985,0.6655,0.0005,0.6655
ensemble4x32,nonlinear_square,1,0.08984839301937882,0.08628605315336971,0.08984839301937882,0.9985,0.0005,0.9985,0.6655,0.0005,0.6655
rff24,nonlinear_square,2,0.041914238370571684,0.10243808781366534,0.10243808781366534,1.0,0.0005,0.9585,0.6725,0.0005,0.6725
rff64,nonlinear_square,2,0.041914238370571684,0.06328587181677847,0.06328587181677847,1.0,0.0005,1.0,0.6725,0.0005,0.6725
rff128,nonlinear_square,2,0.041914238370571684,0.08156478547791048,0.08156478547791048,1.0,0.0005,1.0,0.6725,0.0005,0.6725
ensemble4x32,nonlinear_square,2,0.041914238370571684,0.0937668417871798,0.0937668417871798,1.0,0.0005,0.992,0.6725,0.0005,0.6725
rff24,nonlinear_square,3,0.10881455066458731,0.12223526749259567,0.12223526749259567,0.8955,0.0005,0.6805,0.8605,0.0005,0.6805
rff64,nonlinear_square,3,0.10881455066458731,0.06848645732964809,0.10881455066458731,0.8955,0.0005,0.8955,0.8605,0.0005,0.8605
rff128,nonlinear_square,3,0.10881455066458731,0.0900259983826573,0.10881455066458731,0.8955,0.0005,0.8955,0.8605,0.0005,0.8605
ensemble4x32,nonlinear_square,3,0.10881455066458731,0.10217764114356896,0.10881455066458731,0.8955,0.0005,0.8955,0.8605,0.0005,0.8605
rff24,nonlinear_square,4,0.1666963837182331,0.1499201309683103,0.1666963837182331,0.066,0.0005,0.066,0.066,0.0005,0.066
rff64,nonlinear_square,4,0.1666963837182331,0.0818405991155203,0.1666963837182331,0.066,0.0005,0.066,0.066,0.0005,0.066
rff128,nonlinear_square,4,0.1666963837182331,0.10223060916597379,0.1666963837182331,0.066,0.0005,0.066,0.066,0.0005,0.066
ensemble4x32,nonlinear_square,4,0.1666963837182331,0.12136710725205514,0.1666963837182331,0.066,0.0005,0.066,0.066,0.0005,0.066
rff24,nonlinear_square,5,0.06408710878801568,0.1273985478214537,0.1273985478214537,1.0,0.0005,0.583,0.974,0.0005,0.583
