representation,condition,linear_detection_rate,nonlinear_detection_rate,combined_detection_rate,linear_localization_rate,nonlinear_localization_rate,combined_localization_rate,broad_global_mode_rate
R1,null,0.005,0.005,0.005,0.005,0.005,0.005,0.0
R1,direct_linear,1.0,1.0,1.0,1.0,1.0,1.0,0.0
R1,common_pair,1.0,1.0,1.0,1.0,1.0,1.0,0.0
R1,nonlinear_square,0.085,1.0,0.085,0.085,1.0,0.085,0.0
R1,nonlinear_tanh,1.0,1.0,1.0,1.0,1.0,1.0,0.0
R1,global_common,1.0,1.0,1.0,0.065,0.125,0.065,1.0
R2,null,0.005,0.0,0.005,0.005,0.0,0.005,0.0
R2,direct_linear,1.0,1.0,1.0,1.0,1.0,1.0,0.0
R2,common_pair,1.0,1.0,1.0,1.0,1.0,1.0,0.0
R2,nonlinear_square,0.085,1.0,0.085,0.085,1.0,0.085,0.0
R2,nonlinear_tanh,1.0,1.0,1.0,1.0,1.0,1.0,0.0
R2,global_common,1.0,1.0,1.0,0.065,0.03,0.065,1.0
R3,null,0.005,0.005,0.005,0.005,0.005,0.005,0.0
R3,direct_linear,1.0,1.0,1.0,1.0,1.0,1.0,0.0
R3,common_pair,1.0,1.0,1.0,1.0,1.0,1.0,0.0
R3,nonlinear_square,0.025,1.0,0.025,0.025,1.0,0.025,0.0
R3,nonlinear_tanh,1.0,1.0,1.0,1.0,1.0,1.0,0.0
R3,global_common,1.0,1.0,1.0,0.065,0.02,0.065,1.0
R4,null,0.005,0.005,0.005,0.005,0.005,0.005,0.0
R4,direct_linear,1.0,1.0,1.0,1.0,1.0,1.0,0.0
R4,common_pair,1.0,1.0,1.0,1.0,1.0,1.0,0.0
R4,nonlinear_square,0.04,1.0,0.04,0.04,1.0,0.04,0.0
R4,nonlinear_tanh,1.0,1.0,1.0,1.0,1.0,1.0,0.0
R4,global_common,1.0,1.0,1.0,0.065,0.02,0.065,1.0
