representation,condition,replicate,target_linear_score,target_nonlinear_score,target_combined_score,target_linear_p,target_nonlinear_p,target_combined_p,linear_any,nonlinear_any,combined_any,target_linear_localized,target_nonlinear_localized,target_combined_localized,combined_significant_pairs,broad_global_mode
R1,null,1,0.04592465590664598,0.009860081437995374,0.04592465590664598,1.0,0.9895,1.0,False,False,False,False,False,False,0,False
R1,null,2,0.08289029825423083,0.007667331658138027,0.08289029825423083,0.9995,1.0,0.9995,False,False,False,False,False,False,0,False
R1,null,3,0.07382678538236552,0.007823495249766372,0.07382678538236552,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,4,0.03729036379459231,0.005885933215597799,0.03729036379459231,1.0,1.0,1.0,True,True,True,False,False,False,1,False
R1,null,5,0.04982974209097369,0.004383813598389002,0.04982974209097369,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,6,0.08877037032875228,0.0037481942176812565,0.08877037032875228,0.9975,1.0,0.9975,False,False,False,False,False,False,0,False
R1,null,7,0.10943329679421114,0.00794310114130329,0.10943329679421114,0.8845,1.0,0.8845,False,False,False,False,False,False,0,False
R1,null,8,0.07763272669303511,0.008548972115829152,0.07763272669303511,1.0,0.9995,1.0,False,False,False,False,False,False,0,False
R1,null,9,0.10669785708833163,0.0037147563090138623,0.10669785708833163,0.9105,1.0,0.9105,True,False,True,False,False,False,1,False
R1,null,10,0.0517618113485579,0.004506215322302393,0.0517618113485579,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,11,0.06522404502693871,0.005569382567463353,0.06522404502693871,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,12,0.08151736601828344,0.00625445486278278,0.08151736601828344,0.9995,1.0,0.9995,False,False,False,False,False,False,0,False
R1,null,13,0.08723542705084543,0.007689318837563549,0.08723542705084543,0.999,1.0,0.999,False,False,False,False,False,False,0,False
R1,null,14,0.08647029853987923,0.008202782161488807,0.08647029853987923,0.999,0.9995,0.999,True,False,True,False,False,False,1,False
R1,null,15,0.06361815369522623,0.004342884668620323,0.06361815369522623,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,16,0.039914576826352494,0.007813600877273964,0.039914576826352494,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,17,0.09432740988144116,0.004991553959727006,0.09432740988144116,0.9875,1.0,0.9875,False,False,False,False,False,False,0,False
R1,null,18,0.06792830213270486,0.00979476244936742,0.06792830213270486,1.0,0.99,1.0,True,True,True,False,False,False,1,False
R1,null,19,0.02532056974683303,0.005615680645897728,0.02532056974683303,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,20,0.04861599002459458,0.01031380754394673,0.04861599002459458,1.0,0.981,1.0,False,False,False,False,False,False,0,False
R1,null,21,0.0877396300139355,0.010669897426581918,0.0877396300139355,0.9985,0.968,0.9985,False,False,False,False,False,False,0,False
R1,null,22,0.03440431183887918,0.005288058368158147,0.03440431183887918,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,23,0.04507745658468706,0.004002750409798076,0.04507745658468706,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,24,0.06332107332458788,0.00728153268806899,0.06332107332458788,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,25,0.08383315565165764,0.006420882619181863,0.08383315565165764,0.999,1.0,0.999,False,False,False,False,False,False,0,False
R1,null,26,0.11223852300542177,0.00904253657036392,0.11223852300542177,0.853,0.9975,0.853,False,False,False,False,False,False,0,False
R1,null,27,0.04262196981379948,0.009671526678655706,0.04262196981379948,1.0,0.991,1.0,False,False,False,False,False,False,0,False
R1,null,28,0.024360400201562726,0.004749323310872995,0.024360400201562726,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,29,0.054827057712118966,0.00924954544937887,0.054827057712118966,1.0,0.996,1.0,False,False,False,False,False,False,0,False
R1,null,30,0.04522259887889862,0.005678450217213489,0.04522259887889862,1.0,1.0,1.0,True,False,True,False,False,False,1,False
R1,null,31,0.08854163941288339,0.005221751200503794,0.08854163941288339,0.998,1.0,0.998,False,False,False,False,False,False,0,False
R1,null,32,0.09472285131194876,0.008874934122031265,0.09472285131194876,0.985,0.998,0.985,False,False,False,False,False,False,0,False
R1,null,33,0.07645821476265371,0.008025873660103674,0.07645821476265371,1.0,0.9995,1.0,False,False,False,False,False,False,0,False
R1,null,34,0.07284127840826092,0.006376956635255747,0.07284127840826092,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,35,0.10592642830707337,0.009752714083529936,0.10592642830707337,0.921,0.99,0.921,False,False,False,False,False,False,0,False
R1,null,36,0.07398586185995651,0.006895542374673419,0.07398586185995651,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,37,0.11992253922381377,0.009052747795507753,0.11992253922381377,0.7215,0.9975,0.7215,False,False,False,False,False,False,0,False
R1,null,38,0.07708090790671318,0.006367425054502402,0.07708090790671318,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,39,0.09631537321753114,0.00770667767117047,0.09631537321753114,0.982,1.0,0.982,False,False,False,False,False,False,0,False
R1,null,40,0.03539491703271561,0.004462865321970778,0.03539491703271561,1.0,1.0,1.0,False,False,False,False,False,False,0,False
R1,null,41,0.03744245195328016,0.005123389589079019,0.03744245195328016,1.0,1.0,1.0,True,True,True,False,False,False,1,False
