representation,condition,n,finite_failures,range_failures,combined_or_mismatches,before_linear_rate,after_linear_rate,linear_agreement,before_nonlinear_rate,after_nonlinear_rate,nonlinear_agreement,before_combined_rate,after_combined_rate,combined_agreement
R1,null,100,0,0,9,0.02,0.02,1.0,0.09,0.1,0.99,0.02,0.02,1.0
R1,direct_linear,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1,common_pair,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1,nonlinear_square,100,0,0,91,0.09,0.09,1.0,1.0,1.0,1.0,0.09,0.09,1.0
R1,nonlinear_tanh,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R1,global_common,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2,null,100,0,0,6,0.02,0.02,1.0,0.09,0.07,0.98,0.02,0.02,1.0
R2,direct_linear,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2,common_pair,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2,nonlinear_square,100,0,0,92,0.08,0.08,1.0,1.0,1.0,1.0,0.08,0.08,1.0
R2,nonlinear_tanh,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R2,global_common,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R3,null,100,0,0,6,0.02,0.01,0.99,0.04,0.07,0.97,0.02,0.01,0.99
R3,direct_linear,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R3,common_pair,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R3,nonlinear_square,100,0,0,98,0.08,0.02,0.94,1.0,1.0,1.0,0.08,0.02,0.94
R3,nonlinear_tanh,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R3,global_common,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R4,null,100,0,0,5,0.02,0.02,1.0,0.05,0.06,0.99,0.02,0.02,1.0
R4,direct_linear,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R4,common_pair,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R4,nonlinear_square,100,0,0,94,0.09,0.06,0.97,1.0,1.0,1.0,0.09,0.06,0.97
R4,nonlinear_tanh,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R4,global_common,100,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
