representation,condition,channel,score_scope,n,mean_delta,median_delta,mean_absolute_delta,max_absolute_delta
R1,null,linear,target,100,-1.491862189340054e-18,0.0,1.3149203947904198e-17,4.163336342344337e-17
R1,null,linear,max,100,-2.359223927328458e-18,0.0,1.512678871051776e-17,5.551115123125783e-17
R1,null,nonlinear,target,100,-0.0002493059190891493,-0.00014673892600489493,0.0005350362590726561,0.0023557924024037967
R1,null,nonlinear,max,100,0.000269938334588656,0.0003203496910957112,0.0007460159575896232,0.003354674042607114
R1,null,combined,target,100,-1.491862189340054e-18,0.0,1.3149203947904198e-17,4.163336342344337e-17
R1,null,combined,max,100,-2.359223927328458e-18,0.0,1.512678871051776e-17,5.551115123125783e-17
R1,direct_linear,linear,target,100,1.1102230246251566e-18,0.0,7.438494264988549e-17,2.220446049250313e-16
R1,direct_linear,linear,max,100,1.1102230246251566e-18,0.0,7.438494264988549e-17,2.220446049250313e-16
R1,direct_linear,nonlinear,target,100,0.03753938647558925,0.037080082358641256,0.03753938647558925,0.07392031383180855
R1,direct_linear,nonlinear,max,100,0.03753938647558925,0.037080082358641256,0.03753938647558925,0.07392031383180855
R1,direct_linear,combined,target,100,1.1102230246251566e-18,0.0,7.438494264988549e-17,2.220446049250313e-16
R1,direct_linear,combined,max,100,1.1102230246251566e-18,0.0,7.438494264988549e-17,2.220446049250313e-16
R1,common_pair,linear,target,100,-6.661338147750939e-18,0.0,6.772360450213455e-17,2.220446049250313e-16
R1,common_pair,linear,max,100,-6.661338147750939e-18,0.0,6.772360450213455e-17,2.220446049250313e-16
R1,common_pair,nonlinear,target,100,0.06845404133052313,0.06834473026443731,0.06845404133052313,0.09740588427327343
R1,common_pair,nonlinear,max,100,0.06845404133052313,0.06834473026443731,0.06845404133052313,0.09740588427327343
R1,common_pair,combined,target,100,-6.661338147750939e-18,0.0,6.772360450213455e-17,2.220446049250313e-16
R1,common_pair,combined,max,100,-6.661338147750939e-18,0.0,6.772360450213455e-17,2.220446049250313e-16
R1,nonlinear_square,linear,target,100,6.938893903907229e-20,0.0,2.2967738821932926e-17,8.326672684688674e-17
R1,nonlinear_square,linear,max,100,-2.220446049250313e-18,0.0,2.3037127760971997e-17,8.326672684688674e-17
