representation,condition,replicate,finite,bounded,before_linear_target_score,after_linear_target_score,delta_linear_target_score,before_linear_max_score,after_linear_max_score,delta_linear_max_score,before_linear_target_p,after_linear_target_p,before_linear_max_p,after_linear_max_p,before_linear_decision,after_linear_decision,linear_decision_agree,before_nonlinear_target_score,after_nonlinear_target_score,delta_nonlinear_target_score,before_nonlinear_max_score,after_nonlinear_max_score,delta_nonlinear_max_score,before_nonlinear_target_p,after_nonlinear_target_p,before_nonlinear_max_p,after_nonlinear_max_p,before_nonlinear_decision,after_nonlinear_decision,nonlinear_decision_agree,before_combined_target_score,after_combined_target_score,delta_combined_target_score,before_combined_max_score,after_combined_max_score,delta_combined_max_score,before_combined_target_p,after_combined_target_p,before_combined_max_p,after_combined_max_p,before_combined_decision,after_combined_decision,combined_decision_agree,after_combined_or_expected,after_combined_or_match
R1,common_pair,1,True,True,0.5985204173482493,0.5985204173482495,1.1102230246251565e-16,0.5985204173482493,0.5985204173482495,1.1102230246251565e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,0.18931588018793166,0.25943305489800317,0.0701171747100715,0.18931588018793166,0.25943305489800317,0.0701171747100715,0.0005,0.0005,0.0005,0.0005,True,True,True,0.5985204173482493,0.5985204173482495,1.1102230246251565e-16,0.5985204173482493,0.5985204173482495,1.1102230246251565e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R2,common_pair,1,True,True,0.5985204173482493,0.5985204173482493,0.0,0.5985204173482493,0.5985204173482493,0.0,0.0005,0.0005,0.0005,0.0005,True,True,True,0.18133744272850283,0.255504895598121,0.07416745286961818,0.18133744272850283,0.255504895598121,0.07416745286961818,0.0005,0.0005,0.0005,0.0005,True,True,True,0.5985204173482493,0.5985204173482493,0.0,0.5985204173482493,0.5985204173482493,0.0,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R3,common_pair,1,True,True,0.5985204173482493,0.5859675001206305,-0.012552917227618865,0.5985204173482493,0.5859675001206305,-0.012552917227618865,0.0005,0.0005,0.0005,0.0005,True,True,True,0.09310237344247212,0.20173006067479246,0.10862768723232034,0.09310237344247212,0.20173006067479246,0.10862768723232034,0.0005,0.0005,0.0005,0.0005,True,True,True,0.5985204173482493,0.5859675001206305,-0.012552917227618865,0.5985204173482493,0.5859675001206305,-0.012552917227618865,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R4,common_pair,1,True,True,0.5985204173482493,0.5984206711009671,-9.974624728226189e-05,0.5985204173482493,0.5984206711009671,-9.974624728226189e-05,0.0005,0.0005,0.0005,0.0005,True,True,True,0.16294462926693645,0.23097127192311806,0.06802664265618161,0.16294462926693645,0.23097127192311806,0.06802664265618161,0.0005,0.0005,0.0005,0.0005,True,True,True,0.5985204173482493,0.5984206711009671,-9.974624728226189e-05,0.5985204173482493,0.5984206711009671,-9.974624728226189e-05,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R1,direct_linear,1,True,True,0.6191092716404827,0.6191092716404826,-1.1102230246251565e-16,0.6191092716404827,0.6191092716404826,-1.1102230246251565e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,0.1657986591424123,0.20856712472206054,0.04276846557964825,0.1657986591424123,0.20856712472206054,0.04276846557964825,0.0005,0.0005,0.0005,0.0005,True,True,True,0.6191092716404827,0.6191092716404826,-1.1102230246251565e-16,0.6191092716404827,0.6191092716404826,-1.1102230246251565e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R2,direct_linear,1,True,True,0.6191092716404827,0.6191092716404826,-1.1102230246251565e-16,0.6191092716404827,0.6191092716404826,-1.1102230246251565e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,0.1408038144705346,0.231616801182719,0.09081298671218438,0.1408038144705346,0.231616801182719,0.09081298671218438,0.0005,0.0005,0.0005,0.0005,True,True,True,0.6191092716404827,0.6191092716404826,-1.1102230246251565e-16,0.6191092716404827,0.6191092716404826,-1.1102230246251565e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R3,direct_linear,1,True,True,0.6191092716404827,0.616750086092326,-0.002359185548156728,0.6191092716404827,0.616750086092326,-0.002359185548156728,0.0005,0.0005,0.0005,0.0005,True,True,True,0.165125654881509,0.22092662087573542,0.05580096599422643,0.165125654881509,0.22092662087573542,0.05580096599422643,0.0005,0.0005,0.0005,0.0005,True,True,True,0.6191092716404827,0.616750086092326,-0.002359185548156728,0.6191092716404827,0.616750086092326,-0.002359185548156728,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R4,direct_linear,1,True,True,0.6191092716404827,0.6186023884594164,-0.0005068831810662866,0.6191092716404827,0.6186023884594164,-0.0005068831810662866,0.0005,0.0005,0.0005,0.0005,True,True,True,0.19051186695663166,0.24398415073534696,0.053472283778715296,0.19051186695663166,0.24398415073534696,0.053472283778715296,0.0005,0.0005,0.0005,0.0005,True,True,True,0.6191092716404827,0.6186023884594164,-0.0005068831810662866,0.6191092716404827,0.6186023884594164,-0.0005068831810662866,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R1,global_common,1,True,True,0.3243859513378308,0.32438595133783077,-5.551115123125783e-17,0.41892119845994985,0.4189211984599499,5.551115123125783e-17,0.0005,0.0005,0.0005,0.0005,True,True,True,0.06510708260760358,0.07988460320571003,0.014777520598106456,0.08148559136387423,0.13024427583937243,0.04875868447549819,0.0005,0.0005,0.0005,0.0005,True,True,True,0.3243859513378308,0.32438595133783077,-5.551115123125783e-17,0.41892119845994985,0.4189211984599499,5.551115123125783e-17,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
R2,global_common,1,True,True,0.3243859513378308,0.3243859513378309,5.551115123125783e-17,0.41892119845994985,0.41892119845994996,1.1102230246251565e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,0.05657386224015573,0.06518007655469843,0.008606214314542698,0.09710371466804223,0.10684765185979463,0.0097439371917524,0.0005,0.0005,0.0005,0.0005,True,True,True,0.3243859513378308,0.3243859513378309,5.551115123125783e-17,0.41892119845994985,0.41892119845994996,1.1102230246251565e-16,0.0005,0.0005,0.0005,0.0005,True,True,True,True,True
